"year","month","month_start","expected_days","monthly_total_mm","n_days_observed","n_missing_rainfall","month_status","month_name","year_display","display_total_mm"
1983,1,1983-01-01,31,246,31,0,"complete","Jan","1983",246
1983,2,1983-02-01,28,5.6,28,0,"complete","Feb","1983",5.6
1983,3,1983-03-01,31,18.6,31,0,"complete","Mar","1983",18.6
1983,4,1983-04-01,30,33.6,30,0,"complete","Apr","1983",33.6
1983,5,1983-05-01,31,33.6,31,0,"complete","May","1983",33.6
1983,6,1983-06-01,30,94,30,0,"complete","Jun","1983",94
1983,7,1983-07-01,31,190,31,0,"complete","Jul","1983",190
1983,8,1983-08-01,31,262.2,31,0,"complete","Aug","1983",262.2
1983,9,1983-09-01,30,170.8,30,0,"complete","Sep","1983",170.8
1983,10,1983-10-01,31,212.7,31,0,"complete","Oct","1983",212.7
1983,11,1983-11-01,30,228.8,30,0,"complete","Nov","1983",228.8
1983,12,1983-12-01,31,370.6,31,0,"complete","Dec","1983",370.6
1984,1,1984-01-01,31,251.2,31,0,"complete","Jan","1984",251.2
1984,2,1984-02-01,29,470.4,29,0,"complete","Feb","1984",470.4
1984,3,1984-03-01,31,361.3,31,0,"complete","Mar","1984",361.3
1984,4,1984-04-01,30,153.1,30,0,"complete","Apr","1984",153.1
1984,5,1984-05-01,31,186.5,31,0,"complete","May","1984",186.5
1984,6,1984-06-01,30,255,30,0,"complete","Jun","1984",255
1984,7,1984-07-01,31,127.2,31,0,"complete","Jul","1984",127.2
1984,8,1984-08-01,31,102.7,31,0,"complete","Aug","1984",102.7
1984,9,1984-09-01,30,186.7,30,0,"complete","Sep","1984",186.7
1984,10,1984-10-01,31,187.5,31,0,"complete","Oct","1984",187.5
1984,11,1984-11-01,30,127.7,30,0,"complete","Nov","1984",127.7
1984,12,1984-12-01,31,277.4,31,0,"complete","Dec","1984",277.4
1985,1,1985-01-01,31,111.1,31,0,"complete","Jan","1985",111.1
1985,2,1985-02-01,28,79.3,28,0,"complete","Feb","1985",79.3
1985,3,1985-03-01,31,88,31,0,"complete","Mar","1985",88
1985,4,1985-04-01,30,110.5,30,0,"complete","Apr","1985",110.5
1985,5,1985-05-01,31,70.1,31,0,"complete","May","1985",70.1
1985,6,1985-06-01,30,37,30,0,"complete","Jun","1985",37
1985,7,1985-07-01,31,131.8,31,0,"complete","Jul","1985",131.8
1985,8,1985-08-01,31,56.9,31,0,"complete","Aug","1985",56.9
1985,9,1985-09-01,30,110.7,30,0,"complete","Sep","1985",110.7
1985,10,1985-10-01,31,169,31,0,"complete","Oct","1985",169
1985,11,1985-11-01,30,179.4,30,0,"complete","Nov","1985",179.4
1985,12,1985-12-01,31,340.1,31,0,"complete","Dec","1985",340.1
1986,1,1986-01-01,31,308.2,31,0,"complete","Jan","1986",308.2
1986,2,1986-02-01,28,26.7,28,0,"complete","Feb","1986",26.7
1986,3,1986-03-01,31,353.4,31,0,"complete","Mar","1986",353.4
1986,4,1986-04-01,30,150,30,0,"complete","Apr","1986",150
1986,5,1986-05-01,31,145.1,31,0,"complete","May","1986",145.1
1986,6,1986-06-01,30,122.9,30,0,"complete","Jun","1986",122.9
1986,7,1986-07-01,31,109.7,31,0,"complete","Jul","1986",109.7
1986,8,1986-08-01,31,72.9,31,0,"complete","Aug","1986",72.9
1986,9,1986-09-01,30,396,30,0,"complete","Sep","1986",396
1986,10,1986-10-01,31,227.3,31,0,"complete","Oct","1986",227.3
1986,11,1986-11-01,30,256.7,30,0,"complete","Nov","1986",256.7
1986,12,1986-12-01,31,367.2,31,0,"complete","Dec","1986",367.2
1987,1,1987-01-01,31,568.6,31,0,"complete","Jan","1987",568.6
1987,2,1987-02-01,28,86.9,28,0,"complete","Feb","1987",86.9
1987,3,1987-03-01,31,132.5,31,0,"complete","Mar","1987",132.5
1987,4,1987-04-01,30,72.5,30,0,"complete","Apr","1987",72.5
1987,5,1987-05-01,31,270,31,0,"complete","May","1987",270
1987,6,1987-06-01,30,126.6,30,0,"complete","Jun","1987",126.6
1987,7,1987-07-01,31,80.9,31,0,"complete","Jul","1987",80.9
1987,8,1987-08-01,31,191.9,31,0,"complete","Aug","1987",191.9
1987,9,1987-09-01,30,129.9,30,0,"complete","Sep","1987",129.9
1987,10,1987-10-01,31,22.6,31,0,"complete","Oct","1987",22.6
1987,11,1987-11-01,30,347.6,30,0,"complete","Nov","1987",347.6
1987,12,1987-12-01,31,72.8,31,0,"complete","Dec","1987",72.8
1988,1,1988-01-01,31,237.5,31,0,"complete","Jan","1988",237.5
